  -- System info -- 
 Number of particles  : 1
 Number of dimensions : 1
 Number of Metropolis steps run : 10^6
 Number of equilibration steps  : 10^5.57403
 Number of parameters : 1

  -- Results -- 
 Param 1        E              E^2            VAR            
 0.4            0.510202       0.28522        0.0249139      
 0.41           0.509732       0.279303       0.0194755      
 0.42           0.508749       0.274019       0.0151935      
 0.43           0.50395        0.264808       0.0108425      
 0.44           0.505687       0.264364       0.00864511     
 0.45           0.503747       0.259239       0.00547788     
 0.46           0.500266       0.253454       0.00318836     
 0.47           0.502049       0.25405        0.00199702     
 0.48           0.500726       0.251641       0.000914666    
 0.49           0.500041       0.250242       0.000200689    
 0.5            0.5            0.25           0              
 0.51           0.499893       0.2501         0.000207058    
 0.52           0.50062        0.251389       0.000767919    
 0.53           0.500353       0.252092       0.00173857     
 0.54           0.500427       0.253463       0.00303637     
 0.55           0.50284        0.257302       0.00445453     
 0.56           0.503017       0.259593       0.00656735     
 0.57           0.504649       0.262893       0.00822259     
 0.58           0.503916       0.265135       0.0112028      
 0.59           0.506174       0.269946       0.0137344      
 0.6            0.50539        0.273172       0.0177528      
Execution time: -11.089894
