  -- System info -- 
 Number of particles  : 100
 Number of dimensions : 3
 Number of Metropolis steps run : 10^4.99998
 Number of equilibration steps  : 10^4
 Number of parameters : 1

  -- Results -- 
 Param_1        E              E^2            VAR            % Accepted Transitions
 0.5            209.81         44085.3        65.0051        0.947768       
 0.483562       209.667        43996.9        36.4231        0.950468       
 0.472301       208.103        43341          34.3259        0.951958       
 0.462464       208.015        43314.2        43.9037        0.953108       
 0.452576       208.747        43605.8        30.6392        0.952568       
 0.444776       206.096        42508.4        33.0658        0.953688       
 0.440215       206.496        42669.8        29.0322        0.954058       
 0.43247        206.469        42760.8        131.286        0.954158       
 0.425859       206.8          42793          26.9135        0.955778       
 0.418169       207.603        43129          30.0999        0.953708       
 0.409264       205.306        42174          23.2486        0.955068       
 0.400255       204.751        41937.5        14.5702        0.955588       
 0.397225       206.839        42809.7        27.2419        0.957588       
 0.396155       206.256        42567.5        26.0579        0.957198       
 0.39028        207.254        42975.1        21.0559        0.957368       
 0.392566       206.355        42594.6        12.3781        0.957988       
 0.388925       206.639        42715.5        15.9156        0.959138       
 0.385787       206.998        42862.7        14.3477        0.958758       
 0.387502       206.46         42656.6        30.8473        0.958638       
 0.386928       205.57         42278.7        19.7785        0.959058       
 0.388121       207.632        43127.3        16.1202        0.958048       
 0.389738       207.705        43160          18.5618        0.958298       
 0.386377       207.069        42895.6        18.1439        0.958128       
 0.384484       206.736        42756.4        16.4844        0.959078       
 0.385432       205.645        42305.3        15.4273        0.957948       
 0.383505       205.743        42350.9        20.5835        0.959238       
 0.380798       207.638        43125.8        12.41          0.958828       
 0.37791        206.454        42638.3        14.9997        0.959118       
 0.374987       207.514        43091.3        29.18          0.960458       
 0.382027       205.729        42338.8        14.461         0.959008       
 0.379747       206.858        42805.2        14.9961        0.959198       
 0.379641       207.696        43151.2        13.6182        0.960188       
 0.380473       207.113        42909.8        13.8507        0.958868       
 0.381191       207.678        43159.2        28.9417        0.958858       
 0.376091       207.106        42903.6        10.6399        0.959438       
 0.376766       206.278        42573.5        23.0197        0.959658       
 0.375011       206.741        42760.3        18.5445        0.959278       
 0.371582       206.275        42567.2        17.8238        0.959118       
 0.37195        207.698        43149.8        11.2272        0.959918       
 0.372463       207.63         43127          16.8219        0.960308       
 0.375991       205.469        42232.6        15.1399        0.959508       
 0.373311       207.052        42882.1        11.6672        0.959158       
 0.37223        205.938        42423.3        12.8606        0.958548       
 0.372549       206.631        42708.9        12.7248        0.959678       
 0.372372       207.767        43177.8        10.6643        0.958808       
 0.375111       206.665        42728.3        17.7666        0.959308       
 0.373676       206.878        42812.9        14.2967        0.959158       
 0.379128       206.751        42765.5        19.6492        0.958898       
 0.382609       206.379        42609.6        17.1176        0.959408       
 0.385264       207.009        42876.5        23.8719        0.959248       
 0.382818       206.351        42602.6        21.9975        0.959618       
 0.380918       206.863        42810.7        18.4859        0.959468       
 0.378049       206.606        42706          19.7942        0.959268       
 0.378536       207.348        43009.1        15.9077        0.959888       
 0.380861       207.349        43010          16.4486        0.958548       
 0.381999       206.362        42606.5        21.0209        0.958798       
 0.383052       208.23         43378.8        19.0535        0.959208       
 0.386707       208.664        44251.3        710.463        0.957448       
 0.37443        207.675        43155.8        27.0245        0.959878       
 0.376676       206.744        42758.9        16.0289        0.959298       
 0.377108       207.893        43234          14.3952        0.959568       
 0.379319       206.9          42820.5        12.8327        0.958878       
 0.376458       206.508        42657.4        11.7145        0.959098       
 0.379425       208.13         43333.4        15.4093        0.958718       
 0.378212       207.038        42877.6        12.8169        0.958868       
 0.376141       205.758        42348.8        12.4649        0.958788       
 0.373513       206.032        42468.8        19.8057        0.960258       
 0.375433       208.486        43480.7        14.269         0.959958       
 0.374132       208.747        43589.3        13.8969        0.959918       
 0.377192       205.616        42290.1        12.2385        0.959818       
 0.377676       205.797        42365.2        12.9353        0.958798       
 0.377535       207.289        42979.7        10.8806        0.958898       
 0.376038       206.839        42803.7        21.2794        0.959268       
 0.378476       206.726        42753.1        17.3575        0.959008       
 0.377836       206.095        42496.3        21.1002        0.958378       
 0.379898       206.272        42562.8        14.7017        0.958658       
 0.37836        207.161        42931.3        15.7645        0.958538       
 0.377322       207.315        42995.6        16.0731        0.958848       
 0.381212       207.123        42914.4        14.6618        0.959658       
 0.383736       206.282        42569.7        17.2683        0.957668       
 0.382398       206.438        42628.9        12.2976        0.958988       
 0.382588       206.704        42751.3        24.6972        0.958938       
 0.382205       206.2          42532.7        14.1774        0.959018       
 0.377579       207.589        43105.1        11.6776        0.959358       
 0.382138       207.239        42962.4        14.5528        0.960058       
 0.382141       206.549        42676.1        13.5175        0.958438       
 0.377452       207.272        42976.3        14.7569        0.959498       
 0.377043       207.928        43245.9        11.8088        0.959018       
 0.379877       206.343        42593.1        15.6717        0.959698       
 0.381415       205.204        42123.2        14.4518        0.958718       
 0.377549       207.637        43130.8        17.6283        0.958988       
 0.374935       208.16         43346.1        15.6398        0.957528       
 0.373821       207.751        43178.3        17.8288        0.960568       
 0.375393       206.775        42771.8        15.9853        0.958368       
 0.378399       206.741        42755.4        13.4062        0.959018       
 0.378924       208.028        43284.7        9.06541        0.960088       
 0.381115       207.084        42902.9        19.2251        0.958498       
 0.378893       208.688        43575.7        25.1718        0.960138       
 0.382204       206.947        42849.7        22.6253        0.958588       
 0.382657       207.003        42864.5        14.3878        0.958548       
Execution time: 2550.490771

