              r        Density
      0.0500000        66514.0
       0.100000        489387.
       0.150000    1.33940E+06
       0.200000    2.59467E+06
       0.250000    4.19378E+06
       0.300000    6.13336E+06
       0.350000    8.40892E+06
       0.400000    1.09127E+07
       0.450000    1.36491E+07
       0.500000    1.62917E+07
       0.550000    1.90882E+07
       0.600000    2.17506E+07
       0.650000    2.44522E+07
       0.700000    2.70184E+07
       0.750000    2.91612E+07
       0.800000    3.12705E+07
       0.850000    3.30045E+07
       0.900000    3.44129E+07
       0.950000    3.57976E+07
        1.00000    3.64563E+07
        1.05000    3.68396E+07
        1.10000    3.70630E+07
        1.15000    3.68697E+07
        1.20000    3.67104E+07
        1.25000    3.58159E+07
        1.30000    3.48699E+07
        1.35000    3.39682E+07
        1.40000    3.25201E+07
        1.45000    3.10797E+07
        1.50000    2.96014E+07
        1.55000    2.80865E+07
        1.60000    2.62709E+07
        1.65000    2.45688E+07
        1.70000    2.28436E+07
        1.75000    2.12397E+07
        1.80000    1.95147E+07
        1.85000    1.79256E+07
        1.90000    1.63484E+07
        1.95000    1.47420E+07
        2.00000    1.32809E+07
        2.05000    1.19612E+07
        2.10000    1.07116E+07
        2.15000    9.51064E+06
        2.20000    8.52419E+06
        2.25000    7.54279E+06
        2.30000    6.62512E+06
        2.35000    5.75597E+06
        2.40000    5.11608E+06
        2.45000    4.38302E+06
        2.50000    3.73066E+06
        2.55000    3.21782E+06
        2.60000    2.72256E+06
        2.65000    2.31603E+06
        2.70000    1.94098E+06
        2.75000    1.62912E+06
        2.80000    1.35560E+06
        2.85000    1.12495E+06
        2.90000        960002.
        2.95000        775414.
        3.00000        643389.
        3.05000        531078.
        3.10000        445867.
        3.15000        348770.
        3.20000        289796.
        3.25000        241444.
        3.30000        186576.
        3.35000        166057.
        3.40000        121167.
        3.45000        100000.
        3.50000        85588.0
        3.55000        67544.0
        3.60000        52611.0
        3.65000        40638.0
        3.70000        31147.0
        3.75000        25825.0
        3.80000        14844.0
        3.85000        11887.0
        3.90000        10658.0
        3.95000        9233.00
        4.00000        4624.00
