  -- System info -- 
 Number of particles  : 10
 Number of dimensions : 3
 Number of Metropolis steps run : 10^4.99998
 Number of equilibration steps  : 10^4
 Number of parameters : 1

  -- Results -- 
 Param_1        E              E^2            VAR            % Accepted Transitions
 0.5            19.5059        385.254        4.7721         0.955478       
 0.488689       19.7321        393.011        3.65556        0.954948       
 0.47988        19.5691        386.148        3.1996         0.955908       
 0.472924       19.4055        380.143        3.57138        0.956268       
 0.464869       19.2869        375.232        3.24866        0.956678       
 0.457276       19.4722        381.715        2.54783        0.956698       
 0.450571       19.2367        372.842        2.78989        0.959688       
 0.443863       19.3405        376.995        2.93919        0.958738       
 0.437129       19.4966        382.043        1.92363        0.958738       
 0.432998       19.3476        376.698        2.36713        0.960968       
 0.428082       18.9884        362.824        2.26487        0.960868       
 0.423334       19.171         370.067        2.53912        0.961528       
 0.418483       19.2639        373.559        2.46171        0.962358       
 0.415008       19.2495        372.379        1.83603        0.961998       
 0.412886       19.2843        373.93         2.04426        0.961148       
 0.409757       19.2299        371.999        2.21075        0.962468       
 0.410003       19.0585        365.316        2.08775        0.962028       
 0.407573       19.2523        372.329        1.67664        0.962068       
 0.405209       19.1327        368.229        2.1691         0.963539       
 0.402436       19.1752        369.517        1.8306         0.963659       
 0.401517       19.2103        370.773        1.73684        0.963329       
 0.398662       19.1009        366.526        1.68092        0.962789       
 0.396321       19.1796        369.653        1.79785        0.963159       
 0.396076       19.03          364.026        1.8854         0.962639       
 0.395445       19.2605        372.618        1.65183        0.963439       
 0.394912       19.3682        376.798        1.67051        0.963129       
 0.396142       19.1163        367.266        1.83233        0.962559       
 0.396868       19.0572        364.997        1.82172        0.962739       
 0.39595        19.2307        371.99         2.16919        0.964099       
 0.395444       19.2393        372.009        1.85654        0.963069       
 0.394134       19.0271        363.748        1.71634        0.962739       
 0.392484       19.1433        368.074        1.60706        0.963789       
 0.391003       19.4296        379.262        1.75216        0.963709       
 0.390395       19.4598        380.442        1.75923        0.963659       
 0.391509       19.3316        375.638        1.9293         0.963449       
 0.393414       19.2152        370.724        1.49839        0.965509       
 0.394648       19.2981        374.049        1.63107        0.962248       
 0.394041       19.1604        368.996        1.87638        0.963629       
 0.393105       19.3622        376.633        1.7391         0.963989       
 0.394198       19.0451        364.614        1.89873        0.964179       
 0.392313       19.3288        375.113        1.51185        0.963509       
 0.392504       19.2221        371.147        1.6573         0.963459       
 0.39315        19.1676        369.26         1.86501        0.964319       
 0.393842       19.0902        366.118        1.68075        0.964049       
 0.392877       19.2461        372.024        1.6114         0.962579       
 0.391912       19.222         371.249        1.7654         0.963459       
 0.390558       19.3219        375.276        1.9384         0.964189       
 0.391332       19.1703        369.154        1.65519        0.963389       
 0.390381       19.1032        366.722        1.788          0.963879       
 0.390684       19.4388        379.687        1.81857        0.964189       
