              r        Density
      0.0500000        54819.0
       0.100000        386627.
       0.150000    1.02939E+06
       0.200000    1.97168E+06
       0.250000    3.14129E+06
       0.300000    4.55355E+06
       0.350000    6.10145E+06
       0.400000    7.73992E+06
       0.450000    9.51486E+06
       0.500000    1.12039E+07
       0.550000    1.29156E+07
       0.600000    1.44696E+07
       0.650000    1.59174E+07
       0.700000    1.71223E+07
       0.750000    1.81679E+07
       0.800000    1.90695E+07
       0.850000    1.96527E+07
       0.900000    2.01182E+07
       0.950000    2.02449E+07
        1.00000    2.02606E+07
        1.05000    2.00548E+07
        1.10000    1.96778E+07
        1.15000    1.91744E+07
        1.20000    1.84715E+07
        1.25000    1.77454E+07
        1.30000    1.67805E+07
        1.35000    1.58269E+07
        1.40000    1.48510E+07
        1.45000    1.39128E+07
        1.50000    1.28626E+07
        1.55000    1.18678E+07
        1.60000    1.08990E+07
        1.65000    9.97859E+06
        1.70000    9.04443E+06
        1.75000    8.21328E+06
        1.80000    7.35120E+06
        1.85000    6.57165E+06
        1.90000    5.81228E+06
        1.95000    5.14980E+06
        2.00000    4.52258E+06
        2.05000    4.03150E+06
        2.10000    3.48489E+06
        2.15000    3.09646E+06
        2.20000    2.66793E+06
        2.25000    2.30184E+06
        2.30000    1.94069E+06
        2.35000    1.68167E+06
        2.40000    1.40631E+06
        2.45000    1.21200E+06
        2.50000    1.01372E+06
        2.55000        854437.
        2.60000        709463.
        2.65000        594291.
        2.70000        487216.
        2.75000        401647.
        2.80000        339484.
        2.85000        280083.
        2.90000        229710.
        2.95000        174103.
        3.00000        142817.
        3.05000        114878.
        3.10000        97732.0
        3.15000        73333.0
        3.20000        60381.0
        3.25000        42566.0
        3.30000        33888.0
        3.35000        30124.0
        3.40000        25076.0
        3.45000        18042.0
        3.50000        13113.0
        3.55000        10124.0
        3.60000        6307.00
        3.65000        4500.00
        3.70000        4006.00
        3.75000        3207.00
        3.80000        1656.00
        3.85000        1421.00
        3.90000        1213.00
        3.95000        553.000
        4.00000        934.000
