              r        Density
      0.0800000        18033.0
       0.160000        132040.
       0.240000        344901.
       0.320000        652613.
       0.400000    1.02274E+06
       0.480000    1.43856E+06
       0.560000    1.85632E+06
       0.640000    2.24932E+06
       0.720000    2.61658E+06
       0.800000    2.92047E+06
       0.880000    3.13428E+06
       0.960000    3.26397E+06
        1.04000    3.30117E+06
        1.12000    3.26537E+06
        1.20000    3.14556E+06
        1.28000    2.96882E+06
        1.36000    2.75707E+06
        1.44000    2.50198E+06
        1.52000    2.22484E+06
        1.60000    1.94826E+06
        1.68000    1.66420E+06
        1.76000    1.40623E+06
        1.84000    1.15662E+06
        1.92000        936622.
        2.00000        750147.
        2.08000        594061.
        2.16000        461106.
        2.24000        350991.
        2.32000        260884.
        2.40000        191656.
        2.48000        138996.
        2.56000        101889.
        2.64000        73179.0
        2.72000        49955.0
        2.80000        35147.0
        2.88000        23140.0
        2.96000        15295.0
        3.04000        10068.0
        3.12000        6248.00
        3.20000        4405.00
        3.28000        2335.00
        3.36000        1488.00
        3.44000        938.000
        3.52000        682.000
        3.60000        304.000
        3.68000        184.000
        3.76000        114.000
        3.84000        49.0000
        3.92000        23.0000
        4.00000        107.000
