  -- System info -- 
 Number of particles  : 10
 Number of dimensions : 3
 Number of Metropolis steps run : 10^6.30103
 Number of equilibration steps  : 10^5
 Number of parameters : 1

  -- Results -- 
 Param_1        E              E^2            VAR            % Accepted Transitions
 0.1            39.353         1635.88        87.2184        0.942278       
 0.105          37.6372        1496.04        79.4826        0.939726       
 0.11           36.0326        1369.87        71.5209        0.93696        
 0.115          34.4669        1252.08        64.1081        0.934001       
 0.12           33.5093        1182.52        59.6478        0.931276       
 0.125          31.9819        1074.47        51.6285        0.928771       
 0.13           31.0987        1017.68        50.5508        0.926086       
 0.135          29.9702        942.795        44.583         0.923162       
 0.14           29.3392        902.392        41.6058        0.920504       
 0.145          28.5957        856.563        38.8492        0.917844       
 0.15           27.47          788.678        34.0786        0.915014       
 0.155          27.0074        763.127        33.7261        0.912523       
 0.16           26.2681        720.688        30.6734        0.910002       
 0.165          25.5146        679.461        28.4648        0.906973       
 0.17           24.8878        645.311        25.9098        0.904249       
 0.175          24.2728        613.064        23.895         0.902092       
 0.18           23.822         590.449        22.9618        0.899379       
 0.185          23.3526        566.45         21.1048        0.896392       
 0.19           22.9396        545.97         19.7463        0.89391        
 0.195          22.4997        525.057        18.8212        0.891613       
 0.2            22.1118        506.373        17.4409        0.888863       
 0.205          21.693         486.658        16.0743        0.886238       
 0.21           21.2929        468.344        14.956         0.883989       
 0.215          20.9282        452.027        14.036         0.881517       
 0.22           20.5865        436.993        13.1891        0.879226       
 0.225          20.4203        429.525        12.5376        0.876312       
 0.23           19.987         410.9          11.4185        0.873684       
 0.235          19.6898        398.313        10.6242        0.871407       
 0.24           19.4965        390.21         10.0973        0.868811       
 0.245          19.2565        380.071        9.25919        0.866527       
 0.25           18.9834        369.107        8.73622        0.86407        
 0.255          18.8761        364.686        8.37719        0.861076       
 0.26           18.5881        353.345        7.82617        0.85898        
 0.265          18.3986        345.752        7.2419         0.856087       
 0.27           18.1935        337.822        6.81923        0.854071       
 0.275          18.0306        331.392        6.29136        0.851568       
 0.28           17.8319        324.009        6.03399        0.849314       
 0.285          17.671         317.805        5.54084        0.846686       
 0.29           17.5178        312.108        5.23332        0.844247       
 0.295          17.3843        307.032        4.81979        0.841599       
 0.3            17.2498        302.13         4.573          0.839448       
 0.305          17.1432        298.14         4.25134        0.836911       
 0.31           16.9801        292.223        3.90004        0.834773       
