  -- System info -- 
 Number of particles  : 10
 Number of dimensions : 3
 Number of Metropolis steps run : 10^4.30112
 Number of equilibration steps  : 10^4
 Number of parameters : 1

  -- Results -- 
 Param_1        E              E^2            VAR            % Accepted Transitions
 0.1            39.2717        1615.85        73.5854        0.942761       
 3.16606        28.9152        1107.56        271.474        0.210608       
 2.88831        27.2872        960.742        216.149        0.237752       
 2.6212         26.0991        846.403        165.238        0.263697       
 2.37163        27.9272        908.398        128.471        0.297241       
 2.13259        25.1096        737.392        106.9          0.333733       
 1.88387        24.2324        654.831        67.6243        0.367327       
 1.67888        22.9047        567.267        42.6431        0.415667       
 1.51287        21.902         517.918        38.2217        0.445461       
 1.3254         20.3889        439.688        23.9818        0.479654       
 1.16623        18.8762        372.439        16.1297        0.528544       
 1.02092        17.8086        329.048        11.9024        0.572835       
 0.870696       16.7761        287.06         5.62201        0.620626       
 0.76005        15.7668        251.524        2.93302        0.655619       
 0.670541       15.376         237.847        1.4245         0.679264       
 0.599182       15.0663        227.583        0.589998       0.709658       
 0.545064       14.9686        224.174        0.113822       0.737153       
 0.520895       14.9749        224.276        0.0292236      0.739252       
 0.507195       14.9875        224.628        0.00281142     0.7505         
 0.503315       14.9948        224.845        0.000687902    0.746651       
 0.501246       14.9963        224.89         9.33507e-05    0.744151       
 0.500498       14.9992        224.975        1.70491e-05    0.757149       
 0.500157       14.9997        224.991        1.83696e-06    0.75095        
 0.500039       14.9999        224.998        9.49868e-08    0.75015        
 0.500015       15             224.999        1.63863e-08    0.754099       
 0.500004       15             225            1.82897e-09    0.7501         
 0.5            15             225            5.94014e-12    0.75125        
 0.5            15             225            5.96856e-13    0.75185        
 0.5            15             225            -2.84217e-14   0.754499       
 0.5            15             225            -2.27374e-13   0.747351       
Execution time: 2.235028

