  -- System info -- 
 Number of particles  : 1
 Number of dimensions : 1
 Number of Metropolis steps run : 10^5
 Number of equilibration steps  : 10^4
 Number of parameters : 1

  -- Results -- 
 Param_1        E              E^2            VAR            % Accepted Transitions
 0.4            0.515236       0.291133       0.0256644      0.999389       
 0.41           0.521122       0.296218       0.0246505      0.999267       
 0.42           0.506745       0.271702       0.0149111      0.999289       
 0.43           0.509981       0.272638       0.0125573      0.999422       
 0.44           0.504289       0.261754       0.00744637     0.999222       
 0.45           0.507552       0.263893       0.00628404     0.999489       
 0.46           0.499624       0.2528         0.00317601     0.999356       
 0.47           0.501854       0.254007       0.00215002     0.999144       
 0.48           0.500234       0.251021       0.000787266    0.999433       
 0.49           0.498834       0.24899        0.000154512    0.999178       
 0.5            0.5            0.25           0              0.999189       
 0.51           0.500141       0.250335       0.000193646    0.999044       
 0.52           0.49988        0.250713       0.000833361    0.999          
 0.53           0.501758       0.253262       0.00150039     0.999          
 0.54           0.500356       0.253561       0.00320448     0.999          
 0.55           0.500406       0.255954       0.00554856     0.998967       
 0.56           0.50496        0.261074       0.00608948     0.998789       
 0.57           0.504882       0.263786       0.00887978     0.998978       
 0.58           0.503886       0.265066       0.0111648      0.998944       
 0.59           0.512653       0.274236       0.0114226      0.998989       
 0.6            0.508173       0.275152       0.0169114      0.998856       
Execution time: 1.011886
