  -- System info -- 
 Number of particles  : 1
 Number of dimensions : 3
 Number of Metropolis steps run : 10^4.99998
 Number of equilibration steps  : 10^4
 Number of parameters : 1

  -- Results -- 
 Param_1        E              E^2            VAR            % Accepted Transitions
 0.4            1.50067        2.31201        0.0599952      0.961418       
 0.42           1.49143        2.25982        0.0354743      0.957298       
 0.44           1.49018        2.24012        0.0194939      0.954648       
 0.46           1.48949        2.22672        0.00815191     0.952348       
 0.48           1.49382        2.23343        0.00193914     0.948978       
 0.5            1.5            2.25           0              0.945668       
 0.52           1.50915        2.27929        0.00173697     0.944288       
 0.54           1.52097        2.31982        0.00647939     0.940408       
 0.56           1.53512        2.37064        0.0140387      0.937347       
 0.58           1.55033        2.42736        0.0238537      0.934487       
 0.6            1.56594        2.48957        0.037393       0.932067       
Execution time: 0.769628

