  -- System info -- 
 Number of particles  : 100
 Number of dimensions : 3
 Number of Metropolis steps run : 10^4.99998
 Number of equilibration steps  : 10^4
 Number of parameters : 1

  -- Results -- 
 Param_1        E              E^2            VAR            % Accepted Transitions
 0.5            193.952        37668.4        51.0418        0.953718       
 0.485811       195.727        38336.6        27.3957        0.954528       
 0.478657       193.14         37351.3        48.1426        0.955328       
 0.467453       192.383        37045.1        33.8902        0.955308       
 0.461677       190.301        36243.4        28.7932        0.956228       
 0.454732       191.62         36742.8        24.4253        0.956238       
 0.449597       191.026        36524.6        33.5528        0.958718       
 0.441506       190.821        36438.8        26.0185        0.958608       
 0.437087       190.945        36476          15.8447        0.958658       
 0.431244       191.397        36652.8        20.0915        0.959828       
 0.430502       187.769        35275.1        17.9419        0.961068       
 0.427766       189.419        35900.2        20.4672        0.960138       
 0.424439       190.964        36481.9        14.501         0.960678       
 0.424205       189.675        36009.5        32.908         0.960438       
 0.422004       190.348        36254          21.7037        0.959918       
 0.419556       189.988        36110.5        14.889         0.961438       
 0.414551       189.526        35939.7        19.7006        0.961028       
 0.409234       188.457        35534.2        18.1565        0.960438       
 0.405259       190.402        36280.7        27.7671        0.962879       
 0.405594       188.529        35561.3        18.0425        0.963019       
 0.403383       188.716        35632.4        18.7833        0.961398       
 0.399342       187.987        35359.4        20.18          0.962579       
 0.399215       189.301        35849.9        15.1012        0.962408       
 0.400355       188.603        35590.1        18.9968        0.961658       
 0.394021       188.258        35458.5        17.3346        0.963689       
 0.3922         189.199        35814.1        17.9132        0.963389       
 0.393629       188.715        35633.2        19.7074        0.962148       
 0.39085        189.792        36036.6        15.6297        0.962048       
 0.389949       187.503        35172.6        15.3708        0.964239       
 0.387785       187.737        35257.9        12.8541        0.963519       
 0.388396       188.103        35397.3        14.5486        0.962428       
 0.388713       186.662        34855.2        12.5593        0.964279       
 0.387688       188.18         35423.6        11.9664        0.963979       
 0.387111       187.968        35351.2        19.104         0.963929       
 0.390885       189.539        35939.4        14.4088        0.963159       
 0.392092       189.578        35954.2        14.3993        0.963869       
 0.38902        188.466        35534.7        15.2899        0.963089       
 0.385187       188.035        35369.5        12.233         0.964039       
 0.384269       188.376        35501.5        16.0588        0.964389       
 0.384437       188.561        35568.9        13.6848        0.963909       
 0.383553       188.196        35432.1        14.3276        0.963699       
 0.379459       189.46         35906.1        10.9026        0.963439       
 0.380648       189.184        35805.6        15.0947        0.964459       
 0.380592       187.166        35048.7        17.4554        0.965029       
 0.379537       188.262        35459.1        16.638         0.963899       
 0.375313       189.679        35990.6        12.3234        0.964399       
 0.375643       189.729        36020.6        23.5237        0.964259       
 0.376348       188.715        35629.1        15.6785        0.965039       
 0.3766         188.343        35492.1        19.0206        0.964189       
 0.377995       187.858        35302.8        12.2985        0.964729       
 0.379659       188.464        35537.5        18.9015        0.964199       
 0.380009       188.922        35712.3        20.5948        0.963729       
 0.376298       189.463        35920.1        23.7243        0.965439       
 0.386198       189.376        35877.8        14.5142        0.964069       
 0.387246       189.592        35964.1        18.845         0.964079       
 0.387073       188.523        35552.7        11.7994        0.963829       
 0.386372       188.922        35704.6        12.9203        0.962569       
 0.389698       188.34         35484.7        12.6351        0.962879       
 0.392199       188.675        35615.7        17.3003        0.962679       
 0.389213       187.669        35232.8        13.1821        0.962458       
 0.387058       189.107        35782.9        21.3005        0.963919       
 0.384884       188.584        35585.8        21.9782        0.963429       
 0.386344       186.914        34954          17.0368        0.964959       
 0.384947       188.432        35519.9        13.3752        0.963279       
 0.389283       187.569        35208.6        26.4287        0.963279       
 0.394004       188.8          35659.2        13.6691        0.962859       
 0.393208       189.774        36025.4        11.0993        0.961298       
 0.393595       188.575        35581.1        20.376         0.962889       
 0.393506       189.387        35882.2        14.5983        0.962659       
 0.395492       189.071        35760.7        12.6937        0.962619       
 0.393752       187.316        35101.4        14.2884        0.963819       
 0.392495       189.65         35980.3        13.1227        0.963189       
 0.390604       190.69         36377.8        15.0898        0.962829       
 0.3902         189.531        35935.2        12.9936        0.962899       
 0.393895       188.395        35506.5        13.8652        0.962328       
 0.391656       186.859        34934.6        18.4668        0.962619       
 0.392144       187.74         35267          20.7044        0.963459       
 0.388586       187.948        35346.5        22.0598        0.963209       
 0.386442       188.587        35577.6        12.653         0.964339       
 0.387025       188.836        35671.1        12.1356        0.962589       
 0.387053       187.925        35329.1        13.425         0.963329       
 0.384456       188.25         35456.8        18.5423        0.962889       
 0.38726        187.51         35178.6        18.5878        0.963229       
 0.384369       189.509        35925          11.2858        0.962869       
 0.383775       189.527        35934.8        14.3105        0.963719       
 0.381483       189.237        35823.4        12.907         0.964879       
 0.378924       187.025        35002.5        24.156         0.964549       
 0.377976       189.011        35738.3        13.1704        0.963689       
 0.379039       187.979        35354.3        18.1577        0.963809       
 0.381143       190.459        36289.5        14.7895        0.964189       
 0.384089       188.144        35413.8        15.4477        0.962869       
 0.386244       189.503        35928.5        17.0363        0.963799       
 0.389132       188.545        35570          20.6156        0.962809       
 0.386893       188.55         35570.1        18.8372        0.963329       
 0.388226       189.022        35742.2        12.9689        0.963739       
 0.390167       187.683        35248.6        23.6354        0.963999       
 0.391081       188.506        35550          15.6951        0.962969       
 0.391418       187.514        35182.9        21.5241        0.962318       
 0.389843       187.38         35134.6        23.2309        0.964489       
 0.387668       187.786        35283.9        20.2902        0.963469       
Execution time: 210.328884

