              r        Density
      0.0500000        3011.00
       0.100000        19900.0
       0.150000        51397.0
       0.200000        101685.
       0.250000        162146.
       0.300000        233791.
       0.350000        319451.
       0.400000        411201.
       0.450000        508550.
       0.500000        605550.
       0.550000        703340.
       0.600000        799426.
       0.650000        891393.
       0.700000        975796.
       0.750000    1.04717E+06
       0.800000    1.10608E+06
       0.850000    1.15848E+06
       0.900000    1.19910E+06
       0.950000    1.22455E+06
        1.00000    1.23892E+06
        1.05000    1.24169E+06
        1.10000    1.22695E+06
        1.15000    1.20585E+06
        1.20000    1.17937E+06
        1.25000    1.13179E+06
        1.30000    1.08168E+06
        1.35000    1.02552E+06
        1.40000        965800.
        1.45000        900002.
        1.50000        838366.
        1.55000        770944.
        1.60000        705804.
        1.65000        638687.
        1.70000        576581.
        1.75000        519654.
        1.80000        460657.
        1.85000        409087.
        1.90000        357543.
        1.95000        312684.
        2.00000        272554.
        2.05000        237497.
        2.10000        198674.
        2.15000        171909.
        2.20000        144082.
        2.25000        120795.
        2.30000        102358.
        2.35000        84507.0
        2.40000        69654.0
        2.45000        57611.0
        2.50000        46318.0
        2.55000        38355.0
        2.60000        30518.0
        2.65000        24919.0
        2.70000        19849.0
        2.75000        15729.0
        2.80000        12409.0
        2.85000        10099.0
        2.90000        7530.00
        2.95000        5768.00
        3.00000        4723.00
        3.05000        3681.00
        3.10000        2749.00
        3.15000        2138.00
        3.20000        1643.00
        3.25000        1199.00
        3.30000        932.000
        3.35000        600.000
        3.40000        493.000
        3.45000        333.000
        3.50000        248.000
        3.55000        172.000
        3.60000        102.000
        3.65000        83.0000
        3.70000        67.0000
        3.75000        45.0000
        3.80000        17.0000
        3.85000        27.0000
        3.90000        4.00000
        3.95000        0.00000
        4.00000        0.00000
