  -- System info -- 
 Number of particles  : 20
 Number of dimensions : 3
 Number of Metropolis steps run : 10^4.99998
 Number of equilibration steps  : 10^4
 Number of parameters : 1

  -- Results -- 
 Param_1        E              E^2            VAR            % Accepted Transitions
 0.4            30.9441        959.583        2.04508        0.977259       
 0.513615       30.0206        901.251        0.0162495      0.969799       
 0.507728       29.9863        899.187        0.00969077     0.970269       
 0.501507       30.0013        900.077        0.000262227    0.969909       
 0.500638       30.0005        900.029        4.57549e-05    0.970109       
 0.500279       29.9999        899.994        9.98037e-06    0.970479       
 0.5001         30             900.002        1.28319e-06    0.971439       
 0.500036       30             900.003        1.42365e-07    0.970699       
 0.500017       30             900.002        3.34779e-08    0.970149       
 0.500007       30             900            6.1907e-09     0.970369       
 0.500002       30             900            8.02288e-10    0.971129       
 0.500001       30             900            1.1778e-10     0.970829       
Execution time: 6.019055

