  -- System info -- 
 Number of particles  : 5
 Number of dimensions : 3
 Number of Metropolis steps run : 10^4.99998
 Number of equilibration steps  : 10^4
 Number of parameters : 1

  -- Results -- 
 Param_1        E              E^2            VAR            % Accepted Transitions
 0.5            7.82433        61.2293        0.00918998     0.963629       
 0.499269       7.81933        61.1484        0.00651347     0.964879       
 0.498768       7.8259         61.2538        0.00911792     0.964589       
 0.498275       7.82675        61.265         0.00695601     0.964559       
 0.497727       7.81803        61.1284        0.00684567     0.966329       
 0.497252       7.83205        61.3477        0.00673429     0.965229       
 0.496765       7.83247        61.354         0.00634574     0.964489       
 0.496374       7.82818        61.2873        0.00695195     0.965369       
 0.495992       7.82953        61.3199        0.0183598      0.965519       
 0.49563        7.82847        61.291         0.00612175     0.964789       
 0.495268       7.82842        61.2901        0.00598072     0.964859       
 0.494904       7.82593        61.2555        0.0102903      0.965809       
 0.49459        7.82724        61.2767        0.0109887      0.966399       
 0.49434        7.82756        61.2765        0.00574429     0.965649       
 0.494053       7.82475        61.231         0.0043064      0.965289       
 0.493818       7.82701        61.2668        0.00467353     0.966119       
 0.493631       7.82931        61.303         0.00498798     0.964519       
 0.493401       7.82918        61.3009        0.00490995     0.965669       
 0.493242       7.82442        61.2272        0.00568969     0.965629       
 0.493096       7.8332         61.3643        0.00525047     0.965209       
 0.492874       7.83253        61.3544        0.00590162     0.964699       
 0.492668       7.83241        61.3526        0.00598839     0.965879       
 0.492504       7.83207        61.352         0.0107026      0.964569       
 0.492336       7.83327        61.3654        0.00523945     0.964919       
 0.492182       7.82678        61.263         0.00451322     0.965639       
 0.492066       7.83037        61.3199        0.00518678     0.964989       
 0.491944       7.82967        61.3091        0.00531295     0.965819       
 0.491896       7.83155        61.3715        0.0383733      0.964939       
 0.491779       7.83255        61.3543        0.00546306     0.965269       
 0.491716       7.83218        61.3495        0.00645088     0.964969       
 0.491634       7.83014        61.3167        0.00560633     0.966059       
 0.491643       7.83185        61.3709        0.0330009      0.966079       
 0.491577       7.82773        61.2795        0.00615423     0.963849       
 0.491461       7.8283         61.2867        0.00450163     0.965769       
 0.491411       7.82837        61.2885        0.00514031     0.965759       
 0.491359       7.83044        61.3202        0.00433235     0.965669       
 0.491311       7.82766        61.2766        0.00425076     0.965989       
 0.491297       7.83218        61.3482        0.00512699     0.964809       
Execution time: 17.368777

