              r        Density
      0.0500000        3479.00
       0.100000        25347.0
       0.150000        67231.0
       0.200000        131111.
       0.250000        211832.
       0.300000        312652.
       0.350000        426519.
       0.400000        550367.
       0.450000        681373.
       0.500000        826247.
       0.550000        972187.
       0.600000    1.11020E+06
       0.650000    1.25238E+06
       0.700000    1.38188E+06
       0.750000    1.49952E+06
       0.800000    1.61240E+06
       0.850000    1.71347E+06
       0.900000    1.79885E+06
       0.950000    1.87088E+06
        1.00000    1.91325E+06
        1.05000    1.95026E+06
        1.10000    1.97792E+06
        1.15000    1.95931E+06
        1.20000    1.95246E+06
        1.25000    1.90593E+06
        1.30000    1.85380E+06
        1.35000    1.79508E+06
        1.40000    1.71893E+06
        1.45000    1.63079E+06
        1.50000    1.53748E+06
        1.55000    1.43942E+06
        1.60000    1.33649E+06
        1.65000    1.24230E+06
        1.70000    1.13669E+06
        1.75000    1.03502E+06
        1.80000        942385.
        1.85000        843455.
        1.90000        753495.
        1.95000        667224.
        2.00000        585907.
        2.05000        514555.
        2.10000        450809.
        2.15000        387926.
        2.20000        335438.
        2.25000        283087.
        2.30000        245469.
        2.35000        204584.
        2.40000        172049.
        2.45000        145262.
        2.50000        121013.
        2.55000        99124.0
        2.60000        81931.0
        2.65000        68349.0
        2.70000        54719.0
        2.75000        44335.0
        2.80000        35429.0
        2.85000        26857.0
        2.90000        22662.0
        2.95000        17171.0
        3.00000        14148.0
        3.05000        10897.0
        3.10000        8686.00
        3.15000        6941.00
        3.20000        5086.00
        3.25000        4269.00
        3.30000        3604.00
        3.35000        2333.00
        3.40000        1788.00
        3.45000        1551.00
        3.50000        1121.00
        3.55000        1145.00
        3.60000        657.000
        3.65000        453.000
        3.70000        275.000
        3.75000        289.000
        3.80000        188.000
        3.85000        107.000
        3.90000        131.000
        3.95000        23.0000
        4.00000        0.00000
